quantidade_de_alunos,nome_do_curso
2,Lógica de programação
5,Java para Web
14,C# para Web
15,Ruby on Rails
16,Cursos de Python
52,PHP com MySql
52,.NET para web
36,Novas integrações com Java
36,TDD com Java
17,Código limpo com C#
14,Preparatório para certificação Java
36,Hardware básico
69,Persistência com .NET
59,Desenvolvendo jogos
49,Análise de dados
50,Estatística básica
6,Internet das coisas
68,Programação funcional
12,Boas práticas em Java
18,Orientação objetos com Java
